TIME,NODEUUID,BLEUUID,RSSI,PACKETID
3:42:34,123:231:213:90:88:10,234:210:11:40:111:36,79,5:2:12:4:5:6:42:88
3:43:18,123:231:213:90:88:10,234:210:11:40:111:36,82,5:2:12:4:5:6:42:88
3:44:7,123:231:213:90:88:10,234:210:11:40:111:36,78,5:2:12:4:5:6:42:88
3:44:56,123:231:213:90:88:10,234:210:11:40:111:36,75,5:2:12:4:5:6:42:88
3:45:44,123:231:213:90:88:10,234:210:11:40:111:36,83,5:2:12:4:5:6:42:88
3:46:31,123:231:213:90:88:10,234:210:11:40:111:36,80,5:2:12:4:5:6:42:88
3:47:18,123:231:213:90:88:10,234:210:11:40:111:36,80,5:2:12:4:5:6:42:88
3:48:8,123:231:213:90:88:10,234:210:11:40:111:36,81,5:2:12:4:5:6:42:88
3:48:54,123:231:213:90:88:10,234:210:11:40:111:36,80,5:2:12:4:5:6:42:88
3:49:43,123:231:213:90:88:10,234:210:11:40:111:36,79,5:2:12:4:5:6:42:88
3:50:32,123:231:213:90:88:10,234:210:11:40:111:36,79,5:2:12:4:5:6:42:88
3:51:26,123:231:213:90:88:10,234:210:11:40:111:36,75,5:2:12:4:5:6:42:88
3:52:9,123:231:213:90:88:10,234:210:11:40:111:36,83,5:2:12:4:5:6:42:88
3:52:58,123:231:213:90:88:10,234:210:11:40:111:36,79,5:2:12:4:5:6:42:88
3:53:44,123:231:213:90:88:10,234:210:11:40:111:36,77,5:2:12:4:5:6:42:88
3:54:33,123:231:213:90:88:10,234:210:11:40:111:36,79,5:2:12:4:5:6:42:88
3:55:22,123:231:213:90:88:10,234:210:11:40:111:36,79,5:2:12:4:5:6:42:88
3:56:13,123:231:213:90:88:10,234:210:11:40:111:36,72,5:2:12:4:5:6:42:88
3:56:57,123:231:213:90:88:10,234:210:11:40:111:36,75,5:2:12:4:5:6:42:88
3:57:46,123:231:213:90:88:10,234:210:11:40:111:36,74,5:2:12:4:5:6:42:88
3:58:35,123:231:213:90:88:10,234:210:11:40:111:36,77,5:2:12:4:5:6:42:88
3:59:25,123:231:213:90:88:10,234:210:11:40:111:36,74,5:2:12:4:5:6:42:88
4:0:13,123:231:213:90:88:10,234:210:11:40:111:36,77,5:2:12:4:5:6:42:88
4:0:58,123:231:213:90:88:10,234:210:11:40:111:36,73,5:2:12:4:5:6:42:88
4:1:47,123:231:213:90:88:10,234:210:11:40:111:36,82,5:2:12:4:5:6:42:88
4:2:35,123:231:213:90:88:10,234:210:11:40:111:36,79,5:2:12:4:5:6:42:88
4:3:25,123:231:213:90:88:10,234:210:11:40:111:36,81,5:2:12:4:5:6:42:88
4:4:14,123:231:213:90:88:10,234:210:11:40:111:36,80,5:2:12:4:5:6:42:88
4:5:1,123:231:213:90:88:10,234:210:11:40:111:36,74,5:2:12:4:5:6:42:88
4:5:52,123:231:213:90:88:10,234:210:11:40:111:36,79,5:2:12:4:5:6:42:88
4:6:39,123:231:213:90:88:10,234:210:11:40:111:36,75,5:2:12:4:5:6:42:88
4:7:25,123:231:213:90:88:10,234:210:11:40:111:36,75,5:2:12:4:5:6:42:88
4:8:13,123:231:213:90:88:10,234:210:11:40:111:36,80,5:2:12:4:5:6:42:88
4:9:2,123:231:213:90:88:10,234:210:11:40:111:36,80,5:2:12:4:5:6:42:88
4:9:56,123:231:213:90:88:10,234:210:11:40:111:36,78,5:2:12:4:5:6:42:88
4:10:40,123:231:213:90:88:10,234:210:11:40:111:36,75,5:2:12:4:5:6:42:88
4:11:32,123:231:213:90:88:10,234:210:11:40:111:36,82,5:2:12:4:5:6:42:88
4:12:13,123:231:213:90:88:10,234:210:11:40:111:36,75,5:2:12:4:5:6:42:88
4:13:5,123:231:213:90:88:10,234:210:11:40:111:36,76,5:2:12:4:5:6:42:88
4:13:52,123:231:213:90:88:10,234:210:11:40:111:36,80,5:2:12:4:5:6:42:88
4:14:42,123:231:213:90:88:10,234:210:11:40:111:36,79,5:2:12:4:5:6:42:88
4:15:30,123:231:213:90:88:10,234:210:11:40:111:36,76,5:2:12:4:5:6:42:88
4:16:15,123:231:213:90:88:10,234:210:11:40:111:36,80,5:2:12:4:5:6:42:88
4:17:3,123:231:213:90:88:10,234:210:11:40:111:36,78,5:2:12:4:5:6:42:88
4:17:52,123:231:213:90:88:10,234:210:11:40:111:36,81,5:2:12:4:5:6:42:88
4:18:41,123:231:213:90:88:10,234:210:11:40:111:36,78,5:2:12:4:5:6:42:88
4:19:30,123:231:213:90:88:10,234:210:11:40:111:36,81,5:2:12:4:5:6:42:88
4:20:19,123:231:213:90:88:10,234:210:11:40:111:36,81,5:2:12:4:5:6:42:88
4:21:4,123:231:213:90:88:10,234:210:11:40:111:36,78,5:2:12:4:5:6:42:88
4:21:53,123:231:213:90:88:10,234:210:11:40:111:36,75,5:2:12:4:5:6:42:88
4:22:41,123:231:213:90:88:10,234:210:11:40:111:36,75,5:2:12:4:5:6:42:88
4:23:52,123:231:213:90:88:10,234:210:11:40:111:36,74,5:2:12:4:5:6:42:88
4:24:19,123:231:213:90:88:10,234:210:11:40:111:36,78,5:2:12:4:5:6:42:88
4:25:8,123:231:213:90:88:10,234:210:11:40:111:36,80,5:2:12:4:5:6:42:88
4:25:56,123:231:213:90:88:10,234:210:11:40:111:36,79,5:2:12:4:5:6:42:88
